Firm Name,CRD Number,AUM (Millions),Website
CONSELLO MANAGEMENT LP,317399,261.07,"https://consello.com/, https://www.linkedin.com/company/consello-group, https://www.youtube.com/channel/UC4VFhD3zgNnZbWU6SceBBKQ"
CROSS RAPIDS CAPITAL LP,313143,260.59,"https://www.linkedin.com/company/cross-rapids-capital, https://crossrapids.com/"
"MW ADVISOR, LLC",332429,260.19,"http://www.marathonfund.com, https://www.linkedin.com/company/marathon-asset-management/"
"SCALEBUILDER, LLC",313276,258.89,https://scalebuilder.net/
"J.H. LANE PARTNERS, LP",282383,258.3,"HTTP://WWW.JHLANEPARTNERS.COM, HTTP://WWW.JHLANE.COM"
KINEO CAPITAL LLC,315019,258.0,https://www.kineocapital.com
MAN CAPITAL MANAGEMENT LLC,146110,256.62,HTTPS://WWW.MAN.COM
VELOCITY CAPITAL MANAGEMENT LLC,321641,256.39,"https://twitter.com/VelocityVCM, http://www.velocitycm.com, https://www.linkedin.com/company/velocity-capital-management/"
"ZEPHYR MANAGEMENT, L.P.",129683,256.3,"https://www.linkedin.com/company/zephyr-peacock-india/, https://in.pinterest.com/zephyr_management/, https://www.zephyrpeacock.com, https://www.linkedin.com/company/zephyr-wealth-management, HTTP://WWW.ZMLP.COM, https://www.tumblr.com/zephyrmanagement/808141237920088064/zephyr-management, https://medium.com/@zmlp, https://www.linkedin.com/company/zephyr-acorn/, https://www.youtube.com/@zephyrpeacockindia9895, https://twitter.com/ZephyrPeacock, https://www.linkedin.com/company/zephyr-management-l.p./"
"DONALD SMITH, L.P.",285701,255.95,N/A
"FUTURE POSITIVE MANAGEMENT, L.L.C.",309644,255.67,"https://www.futurepositive.com/, https://twitter.com/futurepositive"
"STABILIS CAPITAL MANAGEMENT, LP",161553,255.26,"https://www.linkedin.com/company/stabilis-capital-management-lp/, HTTP://WWW.STABILISCAP.COM"
OPPENHEIMERFUNDS INC,104983,253.93,N/A
TRILL IMPACT ADVISORY INC.,328179,253.83,"https://www.trillimpact.com/, https://www.linkedin.com/company/trill-impact/"
10 EAST PARTNERS LLC,322360,253.42,"https://app.10east.co/, https://www.linkedin.com/company/10east/, https://twitter.com/invest10east, https://www.instagram.com/invest10east/, https://www.facebook.com/invest10east"
"ELCO MANAGEMENT COMPANY, LLC",137036,252.16,HTTP://WWW.ELCOMANAGEMENT.COM
CANDELO CAPITAL MANAGEMENT LP,307389,251.83,N/A
LBB HOLDING COMPANY LLC,282285,250.33,HTTP://WWW.LBB-INDUSTRIES.COM
"COLTRANE ASSET MANAGEMENT, L.P.",165131,249.66,"HTTP://COLTRANEAM.COM/, HTTPS://WWW.LINKEDIN.COM/COMPANY/COLTRANE-ASSET-MANAGEMENT-LP"
ARIA GROWTH PARTNERS LP,315978,247.61,"https://www.linkedin.com/company/aria-growth/, https://www.ariagrowth.com/"
"ANANYM CAPITAL MANAGEMENT, LP",332320,246.94,"https://ananymcapital.com, https://www.linkedin.com/company/ananym-capital-management"
"REYNOLDS CHANNEL MANAGEMENT, L.P.",296292,241.87,N/A
FORSYTH STREET ASSET MANAGEMENT LLC,310545,240.98,"https://www.baltimoreniif.org/, https://www.nashvillecatalyst.org/, https://www.newgenerationfund.com/, https://www.nycacquisitionfund.com/, http://www.forsythstreet.com, https://www.nycdownpaymentfund.com/"
"BRIZO CAPITAL, LP",298102,240.61,"https://www.linkedin.com/company/brizo-capital, https://www.brizocapital.com"
"AACP INVESTMENTS, LLC",314568,239.58,N/A
FINDELL CAPITAL MANAGEMENT LLC,307394,237.26,"https://www.fincap.us/, http://twitter.com/@fin_capital, https://findell.us/"
KIZE CAPITAL LP,305608,237.1,https://www.kizecapital.com/
HAZELVIEW SECURITIES (US) LLC,174811,236.78,HTTPS://WWW.HAZELVIEW.COM
STROBE VENTURES L.P.,334227,235.32,"https://www.strobe.fund/, https://x.com/strobefund"
DILATION CAPITAL MANAGEMENT LP,307862,228.83,N/A
"POWER INNOVATION PARTNERS, L.P.",312100,228.75,"https://www.linkedin.com/company/power-innovation-partners, https://www.powerinnovationpartners.com/"
"WYNNEFIELD CAPITAL, INC.",157604,228.11,"HTTP://WWW.WYNNEFIELDCAPITAL.COM, https://www.linkedin.com/company/wynnefield-capital-management/about/, https://www.facebook.com/wynnecap/"
BOYAR ASSET MANAGEMENT INC,105255,225.83,"HTTPS://TWITTER.COM/BOYARVALUE, HTTPS://WWW.LINKEDIN.COM/COMPANY/BOYAR-INTRINSIC-VALUE-RESEARC/, HTTPS://WWW.BOYARASSETMANAGEMENT.COM, https://www.facebook.com/boyarvalue/, https://www.boyarvaluegroup.com/, https://boyarresearch.substack.com/, https://www.youtube.com/@theworldaccordingtoboyar1437, https://www.youtube.com/@boyarvaluegroup3082"
NEWPOINT REAL ESTATE INVESTMENT MANAGEMENT LLC,321208,225.8,N/A
"CORINTHIAN CAPITAL GROUP, LLC",160346,225.31,"HTTP://WWW.CORINTHIANCAP.COM, https://www.facebook.com/pages/category/Financial-Service/Corinthian-Capital-Group-175726575880833/, https://www.linkedin.com/company/corinthian-capital-group/about/, https://twitter.com/corinthiancap"
"TWO SIGMA REAL ESTATE, LP",324210,225.0,"https://www.twosigma.com/businesses/real-estate/, https://x.com/twosigma, https://www.linkedin.com/company/two-sigma-investments"
"SPRING MOUNTAIN CAPITAL, LP",119126,219.45,"https://www.linkedin.com/company/west-harlem-innovation-network/about/, https://westharleminnovationnetwork.com/, https://www.springmountaincapital.com/, https://twitter.com/harlem_network, https://www.facebook.com/WestHarlemInnovationNetwork, https://whin.nyc, https://www.instagram.com/westharleminnovationnetwork/"
"LONG POINT CAPITAL, INC",163061,218.7,"HTTP://WWW.LPCFUND.COM, HTTP://WWW.LONGPOINTCAPITAL.COM"
SUPERSTRING CAPITAL MANAGEMENT LP,305743,218.3,http://superstringcap.com/
"SOUNDCORE CAPITAL PARTNERS, LP",331288,216.3,"https://www.linkedin.com/company/soundcore-capital-partners/, https://www.soundcorecap.com/"
"SENDER COMPANY & PARTNERS, INC.",282319,216.3,"https://www.linkedin.com/company/sender-company-&-partners, HTTP://WWW.SENDERCOMPANY.COM/"
"GUGGENHEIM PRIVATE INVESTMENTS, LLC",331479,216.21,https://www.guggenheiminvestments.com
"CT INVESTMENT MANAGEMENT CO., LLC",160080,215.67,"https://www.instagram.com/blackstone, https://open.spotify.com/artist/52Eom8vQxM8Lk75ZZlf2hJ, https://blackstone.podbean.com/, https://www.youtube.com/user/blackstonegroup, https://apple.co/31Pe1Gg, https://x.com/blackstone, https://www.blackstone.com, https://mp.weixin.qq.com/s/FtddoP2F9zDZ1QFBgOQAAA, https://soundcloud.com/blackstone-300250613, https://www.linkedin.com/company/blackstonegroup, https://www.facebook.com/blackstone, https://spoti.fi/2LJ1tHG, https://www.pandora.com/artist/blackstone/ARvlPz9Plblrlmg"
"LONETREE CAPITAL, LLC",321784,215.15,"https://www.linkedin.com/company/lonetree-capital, https://www.lonetreecap.com"
GATEMORE CAPITAL MANAGEMENT LP,332864,213.73,"https://uk.linkedin.com/company/gvp-climate, https://www.linkedin.com/company/2086357, https://gatemore.com/, https://gvpclimate.com/, https://twitter.com/gatemore"
PATRICOF CO. LLC,320902,212.63,"http://www.pco.com, https://www.linkedin.com/company/patricof-co, https://www.instagram.com/patricofco"
EXOME ASSET MANAGEMENT LLC,304585,210.76,"https://www.linkedin.com/company/exome-asset-management, https://www.exomeasset.com/"
"GS GAMMA ADVISORS, LLC",135424,209.65,"HTTP://WWW.GUGGENHEIMINVESTMENTS.COM, HTTP://WWW.GSGAMMA.COM, HTTP://WWW.GUGGENHEIMPARTNERS.COM"
LATTIS MANAGEMENT LP,333629,209.31,"https://www.lattis.com, https://www.linkedin.com/company/lattislp/"
ROOM40 CAPITAL LLC,322436,209.01,"https://www.linkedin.com/company/room40cap, https://x.com/room40xyz, https://www.room40.capital/, https://www.room40.xyz/"
"YIELDPOINT, L.P.",311859,206.19,"https://www.linkedin.com/company/yieldpoint/, https://www.yieldpointlp.com/"
LC VERO MANAGER LLC,338361,205.62,"https://www.verocapital.com/, https://lcvero.com/"
"MB FAMILY ADVISORS, LLC",166324,204.07,N/A
"NORTHSANDS CAPITAL, L.P.",331698,203.75,"https://www.northsands.com/, https://www.linkedin.com/company/northsands/"
"KRENSAVAGE ASSET MANAGEMENT, LLC",168976,203.27,"https://www.linkedin.com/company/krensavage-asset-management-llc/about/, HTTP://WWW.KRENSAVAGE.COM"
TWO PARKS CAPITAL LLC,333142,202.25,N/A
"NIHON GLOBAL GROWTH PARTNERS MANAGEMENT, INC.",311890,201.83,"http://www.nhggp.com, https://www.x.com/nhggpmi"
"RECIPROCAL VENTURE MANAGEMENT, L.L.C.",288520,201.14,"https://www.linkedin.com/company/reciprocal-ventures/, https://www.recvc.com/, https://scalingup.substack.com/about, https://twitter.com/recvcx"
CITIGROUP ALTERNATIVE INVESTMENTS LLC,119537,200.23,N/A
"GENERAL INNOVATION CAPITAL, LLC",331306,200.0,"https://www.linkedin.com/company/general-innovation-capital/, https://www.generalinnovation.com/"
LOCK 8 PARTNERS LLC,319731,196.44,"https://www.linkedin.com/company/lock-8-partners/, https://www.lock8partners.com, https://twitter.com/lock8partners?lang=en"
ARTIST CAPITAL MANAGEMENT LLC,296835,195.12,"HTTPS://ARTISTCAPITAL.COM/, HTTPS://WWW.LINKEDIN.COM/COMPANY/ARTIST-CAPITAL/"
"MORGENS, WATERFALL, VINTIADIS & COMPANY, INC.",108692,193.63,"http://morgenswaterfall.com, https://www.linkedin.com/company/morgens-waterfall-vintiadis/"
VARIADIC LLC,332389,191.41,http://www.variadic.com
ALCOVA CAPITAL MANAGEMENT LP,298021,189.5,"http://www.alcovacap.com, https://www.linkedin.com/company/alcovacap/"
"INCLINE GLOBAL MANAGEMENT, LLC",162607,187.71,HTTP://INCLINEGLOBAL.NET/
IRTH CAPITAL MANAGEMENT LP,330696,187.4,"http://www.irth.capital, https://www.linkedin.com/company/irth-capital-management/"
"MOUNTAINEER PARTNERS MANAGEMENT, LLC",163089,187.37,HTTP://WWW.MOUNTAINEERPARTNERS.COM
"GAGNON ADVISORS, LLC",161697,187.31,N/A
"DELOS CAPITAL MANAGEMENT, LP",170010,186.68,"HTTP://WWW.DELOSCAP.COM/, https://www.linkedin.com/company/delos-capital"
LONE PEAK PARTNERS MANAGEMENT LP,156546,186.26,N/A
KELLY PARK INVESTMENT LLC,299882,186.2,"http://kellyparkcapital.com, https://www.linkedin.com/company/kellyparkcapital/, http://www.knowyouralts.com"
OWLHOUSE CAPITAL LP,328210,184.92,N/A
"SEVEN SIX CAPITAL MANAGEMENT, LLC",299257,182.8,http://www.sevensixcapital.com
"OPPVEST, LLC",296317,182.66,HTTP://WWW.OPPVEST.COM
"TACTICAL INFRASTRUCTURE PARTNERS, LP",318315,182.35,"https://tacticalinfra.com/, https://www.linkedin.com/company/tactical-infrastructure-partners"
"EMMETT INVESTMENT MANAGEMENT, LP",299543,181.64,https://www.emmettpartners.com/
"SUNSTONE ASSET MANAGEMENT, LP",328895,181.23,https://www.sunstoneam.com/
"RAFFLES CAPITAL MANAGEMENT, LLC",161565,179.6,HTTP://WWW.RAFFLESLP.COM
"SOVIERO ASSET MANAGEMENT, LP",298418,179.07,"https://sovieroassetmanagement.com/, https://www.linkedin.com/company/soviero-asset-management/"
"SABA LT, LP",334114,178.37,N/A
"LANSING MANAGEMENT, LP",285921,178.12,https://lansingmanagement.com/
"CICC ALPHA INVESTMENT MANAGEMENT (USA), LLC",289848,177.62,N/A
POST CAPITAL MANAGEMENT LLC,161892,176.56,"HTTPS://X.COM/POSTCAPITAL, HTTP://WWW.POSTCP.COM/, https://www.linkedin.com/groups/8620342/, HTTPS://WWW.LINKEDIN.COM/COMPANY/POST-CAPITAL-PARTNERS-LLC/"
PENBROOK MANAGEMENT LLC,127269,175.39,https://www.penbrookllc.com/
"FEENIX VENTURE PARTNERS, LLC",304152,174.76,"https://www.feenixpartners.com, https://www.linkedin.com/company/feenix-venture-partners-llc/"
"OBERON ASSET MANAGEMENT, LLC",123494,174.7,HTTPS://WWW.OBERONASSET.COM
SECFI ADVISORY LIMITED,306961,174.02,"https://linkedin.com/company/secfiinc, http://www.secfi.com, https://twitter.com/asksecfi"
MOELIS CAPITAL PARTNERS LLC,154219,173.31,HTTP://WWW.MOELISASSETMANAGEMENT.COM
HUDSON EXECUTIVE CAPITAL LP,175032,172.54,https://www.linkedin.com/company/hudson-executive-capital/about/
"TRIANGLE INVESTMENT MANAGEMENT, LLC",329567,171.78,N/A
"RHO ACCELERATION, LLC",313160,171.52,http://www.rhoacceleration.com
MUTIMA CAPITAL MANAGEMENT LLC,284629,170.62,HTTP://WWW.MUTIMACAPITAL.COM
AP CAPITAL DELAWARE LLC,315796,170.49,https://www.apcapitalinvestment.com
"PERIPHAS CAPITAL, LP",291980,170.41,"https://www.linkedin.com/company/periphas-capital/, https://www.periphascapital.com"
STILLPOINT INVESTMENTS LP,318718,169.85,"https://www.linkedin.com/company/70952409/admin/, https://www.stillpointinvestments.com"
"TOTEM POINT MANAGEMENT, LLC",169824,169.16,"https://www.totempoint.com/, http://www.linkedin.com/company/totem-point-management-llc"
ALLY BRIDGE GROUP (NY) LLC,291072,167.92,"HTTPS://WWW.LINKEDIN.COM/COMPANY/ALLY-BRIDGE, HTTP://WWW.ALLY-BRIDGE.COM/"
"THE LIND PARTNERS, LLC",290338,165.4,"HTTP://WWW.THELINDPARTNERS.COM, https://www.linkedin.com/company/the-lind-partners/"
LIGHTSMITH CLIMATE RESILIENCE MANAGEMENT LLC,307933,165.01,"https://lightsmithgp.com/, https://www.linkedin.com/company/the-lightsmith-group/, https://twitter.com/lightsmithgroup"
"ALPINE PEAKS CAPITAL, LP",290241,164.25,"https://www.alpinepeakscapital.com, https://www.linkedin.com/company/alpine-peaks-capital/"
RIPPLE EFFECT ASSET MANAGEMENT LP,331250,164.05,"https://rippleeffectasset.com/, https://www.linkedin.com/company/ripple-effect-asset-management"
BOARDMAN BAY CAPITAL MANAGEMENT LLC,164577,163.74,"HTTP://WWW.BOARDMANBAY.COM, HTTPS://WWW.LINKEDIN.COM/COMPANY/BOARDMAN-BAY-CAPITAL-MANAGEMENT/"
"HGI CAPITAL MANAGEMENT, LLC.",168303,163.42,"https://www.linkedin.com/company/harborgroupinternational, https://www.hgicapitalmanagement.com"
OPEN FIELD CAPITAL LLC,136313,162.82,"https://x.com/OpenFieldCap, https://www.linkedin.com/company/open-field-capital-limited, HTTP://WWW.OFCAP.COM"
"SUMMATION CAPITAL MANAGEMENT, L.P.",331645,160.56,"https://www.linkedin.com/company/summation-capital/, https://www.summationcapital.com/"
WHITE HAT CAPITAL PARTNERS LP,288059,158.91,"HTTP://WWW.WHITEHATCP.COM, HTTPS://WWW.LINKEDIN.COM/COMPANY/WHITE-HAT-CAPITAL-PARTNERS/"
PHOENICIAN CAPITAL LLC,286033,158.76,"HTTP://PHOENICIANCAPITAL.COM/, https://www.linkedin.com/company/phoenician-capital/"
"UNION SQUARE PARK CAPITAL MANAGEMENT, LLC",175471,158.73,"HTTP://USPCM.COM/, https://www.linkedin.com/company/unionsquareparkcapital/"
RAVEN CAPITAL MANAGEMENT LLC,164755,157.95,"HTTPS://WWW.LINKEDIN.COM/COMPANY/RAVEN-CAPITAL-MANAGEMENT/, HTTP://WWW.RAVENCM.COM"
SADDLEROCK CAPITAL MANAGEMENT LLC,330801,155.89,https://saddlerockcap.com/
"ELTURA CAPITAL MANAGEMENT, LLC",318320,154.8,"http://www.eltura.com, http://www.linkedin.com/company/eltura-capital-management"
ALPACA VC INVESTMENT MANAGEMENT LLC,317262,153.72,"https://www.linkedin.com/company/alpacavc/, https://alpaca.vc/, https://www.instagram.com/alpacavc/, https://campsite.bio/alpacavc, https://medium.com/alpaca-vc, https://www.facebook.com/profile.php?id=100068865744165, https://www.alpacarealestate.com, https://www.linkedin.com/company/alpaca-real-estate/, https://x.com/alpacavc/"
"EM ADVISOR, LLC",314402,153.54,"https://www.linkedin.com/company/equity-multiple/mycompany/, https://www.facebook.com/equitymultiple, https://www.equitymultiple.com, https://www.instagram.com/equitymultiple_com/?hl=en, https://www.amiaccredited.com, https://www.pinterest.com/equitymultiple, https://medium.com/@equitymultiple, https://vimeo.com/equitymultiple, https://www.youtube.com/c/EQUITYMULTIPLE, https://soundcloud.com/equity-multiple, https://www.tiktok.com/@equitymultiple_com, https://twitter.com/EquityMultiple"
TRIDENT MANAGEMENT LLC,319632,150.42,"https://www.trident.co/, https://www.linkedin.com/company/tridentco/, https://twitter.com/investtrident, https://medium.com/@investtrident"
"MIURA GLOBAL MANAGEMENT, LLC",161017,150.16,N/A
"VIS ADVISORS, LP",240786,148.85,HTTP://WWW.TAKUMIFUND.COM
"CATCHMENT CAPITAL, L.P.",335631,147.71,"https://www.catchmentcapital.com/, https://www.linkedin.com/company/catchmentcapital/"
"BARINGTON COMPANIES INVESTORS, LLC",161305,146.98,"https://www.linkedin.com/company/barington-capital-group-l-p, HTTP://WWW.BARINGTON.COM"
"ORTELIUS CAPITAL PARTNERS, LLC",138284,143.75,HTTP://WWW.ORTELIUSINVESTMENTS.COM
"LIVIAN & CO., LLC",153771,143.67,"HTTP://WWW.LIVIANCO.COM, HTTPS://WWW.LINKEDIN.COM/COMPANY/LIVIAN-&-CO.---INVESTMENT-AND-WEALTH-MANAGEMENT/, HTTPS://X.COM/LIVIANCO, https://www.instagram.com/livian_co/, HTTPS://FACEBOOK.COM/LIVIANANDCO, HTTPS://TIKTOK.COM/@LIVIAN_CO"
ARAVALLI CAPITAL MANAGEMENT LP,327861,143.41,https://www.aravallicap.com/
"FOUR LION CAPITAL, LP",333602,143.25,"https://www.linkedin.com/company/fourlion-capital/, https://fourlioncapital.com/"
"ARGOSY-LIONBRIDGE MANAGEMENT, LLC",325413,142.43,https://argosylbm.com/
TOTEM MACRO ASSET MANAGEMENT LP,328044,142.06,N/A
"SECONDMARKET FINANCIAL, LLC",333332,140.62,"https://www.secondmarket.com, https://www.youtube.com/@NasdaqPrivateMarketOfficial, https://x.com/NPM, https://vimeo.com/nasdaqprivatemarket, https://www.facebook.com/NasdaqPrivateMarket, https://www.instagram.com/nasdaqprivatemarketofficial/, https://www.linkedin.com/company/nasdaq-private-market/, https://www.nasdaqprivatemarket.com, https://www.npm.com"
"JLL PARTNERS FCH, INC.",285184,140.08,"https://www.linkedin.com/company/jll-partners/about/, HTTPS://WWW.JLLPARTNERS.COM"
"AREX CAPITAL MANAGEMENT, LP",289595,139.08,https://www.arexcapital.com
"RUSHMONT CAPITAL MANAGEMENT, LP",333041,138.96,"https://www.linkedin.com/company/rushmont, https://www.rushmont.com/"
13D MANAGEMENT LLC,154009,138.83,"http://13dmanagement.com, https://www.linkedin.com/company/13d-management/about/, https://www.13dactivistfund.com/"
HIDDENITE CAPITAL PARTNERS LP,309942,137.8,https://www.hiddenitecap.com/
"EQUILIBRIUM VENTURES, LLC",309164,137.31,"https://www.linkedin.com/company/joinequi, https://www.equi.com/, https://twitter.com/Join_Equi, https://www.facebook.com/profile.php?id=100065213164524, https://www.youtube.com/channel/UCFSg6LR84oZVVyTiFO566Ag"
RIDGELINE PRODUCTIONS LLC,315118,137.09,"https://www.broadwaystrategicreturnfund.com, https://www.linkedin.com/companybroadway-strategic-return-fund/about/"
HARBINGER CAPITAL PARTNERS LLC,160538,134.2,HTTP://WWW.HARBINGERCAPITAL.COM
LIONTREE PARTNERS LLC,289817,134.06,https://liontree.com/
CORNWALL CAPITAL MANAGEMENT LP,161451,132.66,HTTP://WWW.CORNWALLCAPITAL.COM
"UNLIMITED FUNDS, INC.",322644,132.27,"https://www.unlimitedetfs.com, https://twitter.com/UnlimitedFnds, https://www.unlimitedfunds.com/, https://www.linkedin.com/company/unlimitedfunds/?viewAsMember=true"
"MQS MANAGEMENT, LLC",161238,130.04,"HTTP://WWW.MQSMANAGEMENT.COM, https://www.linkedin.com/company/mqs-management-llc/about/"
"HUNT INVESTMENT MANAGEMENT, LLC",151744,129.01,N/A
NINE LEFT CAPITAL LP,332838,125.79,"https://www.nineleftcapital.com/, https://www.linkedin.com/company/nineleft/"
SQ CAPITAL LLC,334301,125.74,http://www.sqcapital.com
CAIS ADVISORS LLC,317466,125.05,https://www.caisgroup.com/
"PURA VIDA INVESTMENTS, LLC",166703,124.76,HTTP://WWW.PURAVIDAINVESTMENTS.COM/
GALILEO INVESTMENT MANAGEMENT LLC,169201,124.58,HTTP://WWW.GALILEOINVESTMENT.COM
"P&A CAPITAL ADVISORS, INC.",111731,124.49,HTTP://WWW.PACAPADVISORS.COM/
"COAST CAPITAL MANAGEMENT, LP",289883,124.37,HTTP://WWW.COASTCAPITALLLC.COM
"MARATHON PARTNERS EQUITY MANAGEMENT, LLC",161095,120.07,"https://x.com/MPEMLLC, HTTP://WWW.MARATHONPARTNERS.COM"
SEABURY CAPITAL MANAGEMENT LLC,334999,120.0,"https://www.seaburycapital.com/, https://www.linkedin.com/company/seabury-capital"
SEAPORT GLOBAL ASSET MANAGEMENT LLC,298944,118.55,"HTTPS://SEAPORTGLOBAL.COM/CAPABILITIES/ASSET-MANAGEMENT/, HTTP://WWW.ARMORYFUNDS.COM/, HTTPS://WWW.LINKEDIN.COM/COMPANY/ARMORY-ADVISORS-LLC"
GREENWOOD INVESTORS LLC,155088,116.49,"HTTPS://WWW.GWINVESTORS.COM, https://twitter.com/GWInvestors"
"AEREF MANAGEMENT, LLC",322495,115.97,N/A
"WINGSPAN CAPITAL, LLC",307759,114.92,"https://www.wingspanfund.com/, https://www.linkedin.com/company/wingspancapital/about/"
BOUSSARD & GAVAUDAN AMERICA LLC,322621,111.33,N/A
DUMONT GLOBAL LP,305883,111.0,"http://www.dumontglobal.com, https://www.linkedin.com/company/dumont-global/?viewAsMember=true"
"ISLET MANAGEMENT, LP",290576,108.81,"https://isletcapital.com, https://www.linkedin.com/company/islet-capital-managemet/"
"50T HOLDINGS, LLC",326720,103.15,https://50tfunds.com/
INVIDIA CAPITAL MANAGEMENT LP,331334,102.4,"https://invidiacap.com/, https://www.linkedin.com/company/invidia-capital-management/"
2E CAPITAL PARTNERS LP,334821,102.0,https://www.linkedin.com/company/2e-capital-partners/
BLANTYRE CAPITAL US LLC,336308,101.57,"https://blantyrecapital.com/, https://www.linkedin.com/company/blantyre-capital-limited/"
SLG CAPITAL MANAGEMENT LLC,331370,100.35,N/A
"HUNT CAPITAL MANAGEMENT, LLC",308017,99.97,N/A
"THREE BRIDGES CAPITAL, LP",160021,97.46,"HTTP://WWW.THREEBRIDGESCAP.COM, HTTPS://WWW.LINKEDIN.COM/COMPANY/THREE-BRIDGES-CAPITAL"
BLACKSTONE REAL ESTATE ADVISORS V L.P.,138208,94.94,"https://www.facebook.com/blackstone, https://mp.weixin.qq.com/s/FtddoP2F9zDZ1QFBgOQAAA, https://www.instagram.com/blackstone, https://soundcloud.com/blackstone-300250613, https://www.linkedin.com/company/blackstonegroup, https://www.blackstone.com, https://www.pandora.com/artist/blackstone/ARvlPz9Plblrlmg, https://open.spotify.com/artist/52Eom8vQxM8Lk75ZZlf2hJ, https://spoti.fi/2LJ1tHG, https://blackstone.podbean.com/, https://www.youtube.com/user/blackstonegroup, https://x.com/blackstone, https://apple.co/31Pe1Gg"
"HEIGHTS POINT MANAGEMENT, LP",313849,94.0,"https://www.linkedin.com/company/heights-point-management-lp/, https://heightspoint.com/"
"PRIVATE EQUITY INVESTORS, INC",160559,93.93,HTTP://WWW.PEIFUNDS.COM/
"SOCIAL INVESTMENT MANAGERS AND ADVISORS, LLC",309110,93.03,"http://simafunds.com, https://www.linkedin.com/company/10592647/admin/dashboard/, https://www.facebook.com/SIMAFunds, https://x.com/i/flow/login?redirect_after_login=%2Fsima_funds"
GSA CAPITAL PARTNERS (NEW YORK) LP,286369,88.88,"HTTP://WWW.GSACAPITAL.COM, https://www.linkedin.com/company/gsacapital"
UOB GLOBAL CAPITAL LLC,160659,88.62,HTTP://WWW.UOBGLOBAL.COM
"ARETEX CAPITAL MANAGEMENT, LP",296753,88.6,HTTPS://WWW.ARETEXCAPITAL.COM
GRAVITY CAPITAL MANAGEMENT LLC,137083,88.0,N/A
ATW SPAC MANAGEMENT LLC,283737,86.73,N/A
ONEWELTH INC,325277,85.66,N/A
LEXION CAPITAL MANAGEMENT LP,153273,84.7,"HTTPS://WWW.LEXIONCAPITAL.COM, HTTPS://TWITTER.COM/LEXIONCAPITAL, HTTPS://WWW.LINKEDIN.COMPANY/LEXION-CAPITAL-MANAGEMENT, HTTPS://WWW.FACEBOOK.COM/LEXIONCAPITAL"
"PEARL LANE ADVISORS, LLC",172681,83.98,N/A
S. MUOIO & CO. LLC,155549,82.84,HTTP://SMINVESTORS.COM
ABERNATHY GROUP II LLC,152401,80.2,"HTTP://WWW.ABERNATHYGROUPFAMILYOFFICE.COM, HTTP://WWW.PHYSICANFAMILYOFFICE.ORG, https://www.abernathydaley401k.com"
"CORDOBA CAPITAL PARTNERS, LLC",329644,78.9,http://www.cordobacapital.co
"DRYDEN CAPITAL, LLC",172648,76.17,N/A
"GREENBROOK MANAGEMENT, LLC",313632,76.16,"https://www.greenbrookre.com, https://www.linkedin.com/company/greenbrookpartners/about/"
"SQN CAPITAL MANAGEMENT, LLC",158704,75.4,HTTPS://WWW.SQNCAPITAL.COM
"NORTHSTAR CAPITAL FUNDS, LLC",138526,71.83,HTTP://WWW.NORTHSTARCAPITALFUNDS.COM
E. MAGNUS OPPENHEIM & CO. INC.,14268,70.38,HTTP://WWW.EMAGNUS.COM
"CATHAY CAPITAL NA, LLC",268816,68.5,https://www.cathaycapital.com/
VAZIRANI ASSET MANAGEMENT LLC,289186,65.0,HTTPS://WWW.VAZIRANIFUND.COM
BEATRICE ADVISORS LP,332668,64.62,"https://www.linkedin.com/company/beatrice-advisors/, https://www.beatriceadvisors.com/"
GOLDIRON GP LLC,285239,60.16,N/A
"MILLENNIAL ADVISERS, LLC.",170847,58.66,"https://www.linkedin.com/company/millennial-advisers-llc, HTTP://WWW.OURADVISERS.COM/, https://www.facebook.com/ouradvisersnyc/, https://twitter.com/OurAdvisersNYC"
TRUCK CAPITAL MANAGEMENT LLC,164329,58.27,"https://www.linkedin.com/company/truck-capital-management-llc, HTTP://WWW.TRUCK-CAPITAL.COM"
SPP CREDIT ADVISORS II LLC,323725,57.84,HTTPS://www.sppcreditpartners.com
"DAVERN CAPITAL PARTNERS, LP",323018,57.52,"https://daverncapital.com/, https://www.linkedin.com/company/davern-capital-partners/"
PRINCETON VALUE PARTNERS LLC,313153,57.44,http://www.princetonvp.com
KB & PARTNERS MANAGEMENT CO LLC,108105,57.18,HTTP://WWW.KAHNBROTHERS.COM
"ARC24 MANAGEMENT, LP",331983,56.89,https://arc24cap.com/
ARKHOUSE MANAGEMENT CO. LP,325180,53.09,"https://arkhousefund.com/, https://www.linkedin.com/company/arkhouse, https://x.com/arkhouse_"
"SIDUS INVESTMENT MANAGEMENT, LLC",160406,52.22,"HTTP://SIDUSFUNDS.COM/, HTTPS://WWW.LINKEDIN.COM/COMPANY/SIDUS-INVESTMENT-MANAGEMENT/"
"ACE & COMPANY NEW YORK, INC.",304442,52.03,HTTPS://ACEANDCOMPANY.COM/
FOXPATH CAPITAL PARTNERS LP,331708,50.0,"https://foxpath.com/, https://www.linkedin.com/company/foxpath"
"ONE68 GLOBAL CAPITAL, LLC",284585,50.0,"https://www.linkedin.com/company/one68-global-capital/about/, https://www.one68global.com"
"OPPENHEIMER ALTERNATIVE INVESTMENT MANAGEMENT, LLC",140485,49.04,N/A
ENDICOTT MANAGEMENT COMPANY,157119,48.74,"https://Linkedin.com/company/the-endicott-group, https://Endicottgp.com"
